## Master file format version 1.0           2001.08.21 CCT&NRV

                         2022 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - December 22, 2022 - CCT

  SESSION      SESSION DATE  DOY TIME  DUR       STATIONS                            SKED CORR STATUS  PF  DBC SUBM  DEL  MK4
    NAME         CODE  mondd ddd hh:mm hr                                                      yymondd    CODE      days  NUM 
------------------------------------------------------------------------------------------------------------------------------
|IN122-039     |I22039|FEB08| 39|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22039    |V22039|FEB08| 39|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-039     |S22039|FEB08| 39|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-039A    |S2039A|FEB08| 39|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-040     |I22040|FEB09| 40|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22040    |V22040|FEB09| 40|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-041     |I22041|FEB10| 41|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22041    |V22041|FEB10| 41|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-042     |I22042|FEB11| 42|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22042    |V22042|FEB11| 42|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN222-043     |Q22043|FEB12| 43|07:30|1.0|IsWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-044     |Q22044|FEB13| 44|07:30|1.0|IsWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|SI22-045      |Z22045|FEB14| 45|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |MH|VIEN|   0|    |
|IN322-045     |Q22045|FEB14| 45|07:00|1.0|IsNsNyWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
|IN122-045     |I22045|FEB14| 45|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22045    |V22045|FEB14| 45|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-046     |I22046|FEB15| 46|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22046    |V22046|FEB15| 46|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-046     |S22046|FEB15| 46|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-046A    |S2046A|FEB15| 46|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-047     |I22047|FEB16| 47|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22047    |V22047|FEB16| 47|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-048     |I22048|FEB17| 48|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22048    |V22048|FEB17| 48|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-049     |I22049|FEB18| 49|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22049    |V22049|FEB18| 49|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-T2049    |VT2049|FEB18| 49|20:00|1.0|GsHbK2MgOeWfWsYj -Ow                     |DACH|HAYS|       |    |VG|NASA|   0|    |
|IN222-050     |Q22050|FEB19| 50|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-051     |Q22051|FEB20| 51|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|SI22-052      |Z22052|FEB21| 52|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |MH|VIEN|   0|    |
|IN322-052     |Q22052|FEB21| 52|07:00|1.0|IsNsNyWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
|IN122-052     |I22052|FEB21| 52|18:30|1.0|MkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN122-053     |I22053|FEB22| 53|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22053    |V22053|FEB22| 53|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-053     |S22053|FEB22| 53|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-053A    |S2053A|FEB22| 53|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-054     |I22054|FEB23| 54|18:30|1.0|IsNy                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN122-055     |I22055|FEB24| 55|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22055    |V22055|FEB24| 55|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-056     |I22056|FEB25| 56|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22056    |V22056|FEB25| 56|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN222-057     |Q22057|FEB26| 57|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-058     |Q22058|FEB27| 58|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|SI22-059      |Z22059|FEB28| 59|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |MH|VIEN|   0|    |
|IN322-059     |Q22059|FEB28| 59|07:00|1.0|IsNsNyWnWz                               |DACH|GSI |       |    |XK|NASA|   0|    |
|IN122-059     |I22059|FEB28| 59|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22059    |V22059|FEB28| 59|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
------------------------------------------------------------------------------------------------------------------------------
|IN122-060     |I22060|MAR01| 60|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22060    |V22060|MAR01| 60|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-060     |S22060|MAR01| 60|19:45|1.0|Mg -Ws                                   |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-060A    |S2060A|MAR01| 60|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-061     |I22061|MAR02| 61|18:30|1.0|IsNy                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN122-062     |I22062|MAR03| 62|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22062    |V22062|MAR03| 62|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-063     |I22063|MAR04| 63|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22063    |V22063|MAR04| 63|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN222-064     |Q22064|MAR05| 64|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-065     |Q22065|MAR06| 65|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
